CurrencyPair,Rate,AsOfDate
INR/XPD,226.17,07/19/2021 23:49:17
BWP/BZD,871.45,09/09/2021 15:50:23
CRC/BWP,287.21,03/11/2023 05:25:46
GNF/LAK,449.79,09/11/2023 20:55:34
JPY/LKR,758.42,10/16/2022 11:48:15
OMR/ZWL,413.33,09/23/2020 03:07:37
AUD/LRD,31.61,04/21/2023 08:32:26
OMR/BHD,459.36,12/19/2020 19:17:30
XFU/KPW,996.98,05/21/2023 08:47:32
BBD/CUC,467.16,02/01/2023 21:04:53
AFN/PGK,608.60,06/13/2022 07:10:59
BWP/ALL,392.39,04/23/2021 14:01:08
JPY/ISK,552.02,07/24/2023 07:58:00
LYD/BAM,36.19,08/26/2023 10:40:30
JOD/SLL,791.37,08/07/2022 05:20:20
TMT/SRD,59.17,05/19/2021 14:42:21
SEK/CRC,698.73,06/12/2023 16:45:41
GYD/TZS,260.40,10/28/2020 20:56:56
MMK/YER,879.39,12/30/2022 18:36:54
JMD/MOP,204.08,04/27/2023 03:55:08
KGS/ZWL,167.66,02/08/2021 16:51:28
LSL/MNT,167.00,11/16/2022 20:10:41
UZS/SCR,110.12,10/26/2021 23:12:20
RWF/SDG,542.68,01/15/2023 15:37:36
BGN/LKR,41.09,07/14/2023 23:36:19
CDF/IQD,324.87,03/02/2022 22:10:51
KYD/KPW,361.71,10/16/2022 18:33:12
BOB/ERN,310.11,10/04/2022 18:18:07
ILS/TTD,671.83,01/12/2023 09:27:12
CDF/SCR,348.05,01/24/2022 14:52:53
XBD/SLL,868.60,07/07/2023 22:43:48
SLL/UZS,947.16,03/23/2021 16:21:32
TMT/SBD,971.11,12/01/2021 17:48:21
DOP/GEL,332.64,12/03/2022 20:50:06
JOD/TND,263.74,03/28/2023 10:39:57
ZAR/KRW,949.99,07/14/2023 10:28:58
MDL/AMD,789.55,01/22/2022 00:37:55
BWP/VEF,581.05,10/08/2020 05:52:26
BRL/XBC,479.85,08/31/2023 02:00:37
VUV/ARS,470.52,08/23/2021 02:37:41
JMD/RUB,491.98,06/22/2021 06:44:47
OMR/IRR,722.45,09/10/2023 12:30:10
CHF/NPR,401.14,03/19/2023 18:35:00
CDF/LBP,441.44,06/05/2021 20:05:48
SHP/XBA,500.93,07/02/2023 01:16:14
XAF/XOF,557.02,02/26/2021 17:30:34
HNL/FJD,885.91,04/21/2023 06:25:03
KHR/BTN,577.89,07/31/2022 22:47:07
EEK/UAH,121.90,12/07/2020 20:10:57
FKP/MWK,403.23,11/20/2022 09:45:26
MAD/MZN,774.75,01/18/2021 22:53:02
NPR/HRK,457.32,08/09/2021 21:15:16
BWP/NPR,31.67,01/30/2021 08:09:05
BYR/XFU,739.04,11/17/2021 09:56:58
HKD/MDL,399.31,04/15/2021 20:57:39
XBC/CNY,193.01,06/25/2021 21:21:17
GHS/INR,36.94,10/29/2020 11:24:47
UYU/SEK,667.46,01/06/2023 09:29:52
KPW/NOK,228.55,08/18/2023 23:58:50
GMD/ZAR,627.90,07/09/2022 07:44:57
XBC/CUP,84.02,06/07/2022 15:14:21
UZS/TND,869.48,06/07/2023 05:15:53
ALL/PLN,96.03,03/10/2023 13:55:04
KWD/CLP,922.93,04/18/2023 19:13:53
XAU/INR,295.92,07/05/2021 14:48:15
MZN/DKK,337.90,02/12/2021 18:21:39
CAD/RWF,625.50,03/24/2023 16:40:36
NPR/BMD,158.11,01/05/2021 11:10:01
XPF/CHF,365.20,01/28/2022 00:52:04
VND/RON,314.33,03/19/2021 08:54:17
RON/ARS,817.55,01/01/2023 11:15:54
CNY/AMD,181.34,04/07/2022 14:16:44
SZL/DOP,293.69,12/30/2020 15:04:53
BGN/TTD,281.78,12/28/2020 19:57:40
ETB/BZD,333.11,10/18/2021 07:06:26
TMT/KHR,467.60,08/30/2023 02:01:21
NAD/ZWL,485.31,10/10/2021 00:14:35
GHS/KGS,271.92,04/19/2023 11:29:04
GTQ/SBD,720.58,04/05/2021 18:47:13
HNL/TND,942.00,06/09/2022 13:24:04
RWF/TRY,452.20,11/19/2022 22:19:37
AUD/KWD,712.30,12/19/2022 02:28:51
VEF/GHS,309.60,09/02/2023 17:35:18
UGX/LRD,722.04,05/12/2022 05:48:09
GBP/XPT,236.92,06/21/2022 22:46:33
AFN/XFU,549.63,09/26/2021 06:47:44
KPW/WST,106.00,11/13/2022 14:14:25
NZD/RON,134.24,05/05/2022 10:49:08
COP/CNY,117.24,02/16/2023 19:02:18
PKR/MMK,149.50,08/08/2021 06:56:28
BRL/BMD,432.31,10/28/2020 09:39:39
PAB/CUC,27.04,08/20/2021 12:24:32
GEL/GIP,813.68,05/29/2022 10:26:10
KZT/COP,187.58,10/20/2022 14:35:48
PKR/AZN,379.41,11/12/2020 23:56:17
CUP/ILS,301.42,02/11/2022 08:25:43
BDT/NZD,929.87,12/26/2022 02:57:13
USD/QAR,342.90,11/17/2022 02:28:53
BSD/DKK,852.55,01/24/2021 02:12:14
ERN/RWF,551.08,11/17/2021 19:38:32
PHP/ERN,969.99,07/23/2023 22:16:27
NZD/JMD,969.19,03/20/2022 22:45:04
JOD/TZS,665.79,06/29/2021 05:36:13
SEK/XTS,753.46,12/24/2021 15:24:25
INR/MAD,148.10,03/25/2021 22:51:18
JOD/KZT,11.06,08/09/2023 10:54:09
KES/BND,430.51,07/16/2023 01:52:41
BSD/SZL,620.12,03/01/2023 03:58:27
BIF/DKK,946.34,07/18/2021 18:33:03
SZL/XCD,363.26,01/13/2023 12:04:30
MRO/KYD,64.68,09/16/2021 06:06:20
NAD/XAU,550.83,07/30/2022 01:43:37
SLL/RON,17.93,03/21/2023 21:20:15
XBD/KZT,59.01,08/08/2021 21:54:26
VND/LVL,289.50,01/18/2023 22:24:54
MXN/MDL,470.33,09/17/2021 11:33:12
XFU/BDT,828.11,07/18/2022 20:38:23
MDL/NAD,362.45,01/14/2022 08:23:04
TZS/IRR,278.16,01/07/2023 23:33:00
RWF/XBD,932.35,01/28/2022 12:45:06
UGX/KYD,234.06,08/20/2022 18:12:47
BYR/DJF,211.17,07/28/2022 06:53:58
RSD/UYU,799.49,07/26/2023 20:50:11
MAD/PGK,916.07,02/27/2022 13:55:11
PHP/TOP,330.74,07/28/2021 11:51:02
CZK/AOA,49.11,08/13/2021 19:13:49
HKD/COP,122.19,11/08/2021 17:36:58
GNF/NIO,615.97,07/13/2023 23:23:03
XPD/CUC,816.49,08/13/2021 17:58:15
XBD/BSD,385.22,01/07/2021 15:28:53
XTS/EEK,181.44,04/19/2022 01:07:20
ARS/HKD,885.46,04/25/2021 00:43:38
XDR/XBB,778.86,03/22/2023 10:55:55
MVR/PKR,919.98,10/01/2022 21:38:44
LBP/KHR,695.31,04/24/2022 08:50:33
MUR/JPY,587.92,02/17/2023 18:59:28
LSL/LKR,100.65,12/14/2020 23:28:17
BSD/MRO,116.68,02/08/2023 15:54:17
ILS/MVR,343.87,07/16/2022 00:48:13
XDR/EEK,760.44,03/20/2021 10:50:59
MRO/MGA,332.83,09/30/2021 00:45:57
DJF/ANG,642.54,11/09/2022 15:01:49
TJS/ZWL,236.34,02/20/2021 04:34:23
BYR/AUD,540.65,02/14/2023 21:27:49
MUR/SYP,582.24,03/30/2023 13:36:44
BIF/NIO,775.99,09/18/2020 13:33:41
PHP/TTD,464.17,10/03/2021 22:34:27
MWK/PGK,284.18,05/19/2022 08:14:55
SHP/MOP,111.14,10/04/2021 18:52:47
IRR/ILS,679.45,07/12/2023 15:33:11
OMR/SOS,664.43,04/30/2023 14:03:12
BSD/RSD,554.36,03/18/2021 04:36:24
SZL/PAB,4.75,09/11/2021 17:21:52
ERN/SVC,810.52,12/11/2022 09:16:56
AED/MKD,943.70,04/07/2022 13:21:24
MKD/KES,0.93,06/24/2021 13:51:49
PAB/NOK,230.20,11/30/2020 03:59:09
BSD/SRD,152.91,02/28/2022 22:53:24
XPF/QAR,551.68,02/17/2023 17:51:28
UZS/XBA,464.65,01/22/2023 03:32:40
UYU/ZAR,639.36,12/30/2022 22:56:20
CAD/JPY,246.08,07/24/2021 06:47:49
XPD/LYD,517.32,03/02/2021 01:57:49
DZD/IDR,664.25,10/14/2020 00:14:21
YER/CZK,291.32,07/28/2021 09:41:20
BHD/STN,448.97,08/15/2022 19:49:28
COP/HKD,912.72,02/07/2021 22:23:35
SVC/MZN,408.35,03/17/2021 22:45:51
GIP/NGN,104.58,04/04/2022 19:14:07
CDF/PEN,185.79,09/14/2022 16:01:24
MUR/GYD,143.98,11/06/2022 23:11:59
VND/HKD,604.57,03/21/2021 12:30:31
SRD/SAR,988.50,06/27/2022 10:12:59
BMD/NPR,209.93,03/25/2021 04:27:49
MXN/BND,504.33,06/27/2022 10:09:28
LRD/XAU,868.16,09/16/2021 00:55:06
SGD/CZK,385.11,07/06/2022 10:03:06
BOB/JOD,360.43,05/11/2022 00:25:28
SOS/CUP,885.32,11/15/2021 13:44:01
TMT/AED,742.93,02/11/2021 19:47:22
AUD/XCD,863.61,10/30/2020 09:42:24
AWG/INR,473.89,08/11/2021 21:22:22
UGX/XCD,158.82,11/16/2020 12:31:32
CHF/MGA,776.74,12/21/2022 11:33:25
MMK/LYD,356.95,04/05/2022 09:37:59
PKR/DKK,670.66,12/08/2020 14:43:36
GYD/ANG,553.01,09/12/2021 19:33:13
SRD/SVC,525.02,12/23/2022 23:53:35
KES/AZN,844.17,05/30/2021 09:04:26
XPD/PGK,721.17,12/29/2021 03:46:59
TOP/SAR,180.76,05/28/2021 15:01:07
CNY/AUD,771.30,09/15/2020 09:54:28
ETB/XBA,809.00,01/29/2021 18:48:29
SDG/CHF,717.97,11/24/2022 16:05:33
XPT/SEK,361.51,03/06/2021 14:12:28
GMD/DOP,369.06,03/01/2021 09:08:40
JMD/PYG,366.64,08/13/2023 06:32:17
ISK/UAH,668.54,08/13/2022 23:18:20
KRW/RUB,396.67,04/06/2022 05:10:19
AOA/PHP,334.03,12/16/2022 09:28:21
IDR/HRK,170.40,03/31/2021 07:59:03
HNL/XPF,483.04,03/16/2021 08:41:55
ZWL/SZL,133.75,12/22/2022 00:34:47
WST/AWG,149.56,06/24/2021 07:17:54
ZMK/KYD,166.44,05/07/2023 00:26:24
DOP/TJS,868.54,08/27/2022 08:58:22
PEN/PKR,129.02,03/02/2021 22:44:16
HRK/MUR,863.10,02/05/2022 22:26:53
ZWL/GTQ,376.35,12/11/2022 05:31:46
BAM/BOB,350.52,12/23/2021 19:12:10
MRO/PGK,995.21,06/08/2022 11:57:49
MXN/DKK,339.14,06/01/2022 10:28:29
USD/GHS,444.48,01/27/2022 10:29:58
XPT/TRY,888.81,04/14/2022 21:41:43
XFU/SOS,920.81,12/03/2022 14:54:13
XDR/XPD,73.40,07/09/2021 07:58:30
KMF/LYD,883.58,02/04/2023 05:45:48
XAU/BWP,604.41,07/19/2022 08:52:58
HKD/ZMK,604.44,04/23/2022 05:07:42
MVR/GTQ,397.21,09/29/2022 09:00:08
KRW/ETB,300.95,10/23/2020 02:32:45
ISK/EEK,247.66,07/23/2022 21:47:16
ZAR/SYP,623.56,10/29/2021 00:55:26
JMD/XPD,693.88,12/15/2020 13:32:00
SVC/ANG,362.12,10/13/2021 18:50:36
HUF/SBD,951.52,06/10/2021 08:39:21
BTN/HNL,603.72,01/12/2021 22:23:23
EEK/PKR,539.33,10/14/2020 23:42:42
BHD/SDG,501.31,01/07/2022 17:24:35
LBP/RSD,551.52,09/08/2023 18:28:22
LYD/ETB,23.52,03/07/2023 21:38:33
BZD/ALL,189.27,11/20/2021 07:26:27
CNY/SVC,224.12,07/26/2023 04:33:43
DJF/MGA,89.76,07/06/2022 10:45:56
BIF/CZK,662.22,05/24/2022 15:40:47
SAR/ISK,813.89,04/30/2023 00:19:59
AED/BSD,669.82,06/06/2022 12:26:32
NOK/UAH,287.45,10/10/2021 10:57:54
MGA/IRR,783.62,03/16/2022 14:11:46
CHF/LTL,147.73,01/12/2023 23:42:41
ANG/TWD,323.86,06/26/2021 17:15:47
CDF/NOK,497.08,11/26/2022 09:54:33
XAG/NZD,375.52,11/15/2022 01:38:58
SYP/SVC,73.46,11/19/2020 03:40:30
PAB/HNL,391.61,09/01/2021 01:59:09
MMK/KPW,974.47,03/13/2022 15:44:25
WST/OMR,65.17,10/27/2021 13:12:52
TWD/XAU,998.01,06/05/2021 09:55:10
IRR/TTD,746.59,09/04/2021 11:13:22
HUF/ZAR,662.77,09/14/2022 22:38:33
CVE/PAB,959.44,07/20/2023 04:59:57
XTS/ARS,750.40,01/23/2023 06:37:41
VUV/NOK,614.81,02/15/2022 15:10:39
ZMK/BYR,865.56,01/06/2023 20:46:57
IQD/NAD,525.36,07/04/2023 22:54:56
GBP/CUC,814.60,06/16/2021 11:03:28
HRK/LTL,710.88,10/11/2020 04:43:23
FKP/RUB,413.19,04/01/2023 19:55:34
GEL/XAF,811.04,08/08/2022 23:00:37
XCD/CUC,220.17,12/09/2022 08:27:21
XPD/AFN,892.47,12/03/2020 02:34:22
MZN/BWP,646.61,08/28/2022 04:37:13
ALL/AMD,139.24,11/25/2020 06:55:11
BZD/LVL,433.40,03/19/2022 13:37:34
MUR/MUR,575.33,08/06/2021 02:55:45
PKR/MMK,528.94,10/01/2020 13:36:56
MKD/SYP,237.03,11/04/2020 18:03:08
XAG/HRK,826.90,08/12/2023 15:29:12
XBB/IQD,964.72,03/16/2023 23:30:20
SBD/KHR,753.26,06/13/2021 22:47:20
XPF/NAD,424.52,01/15/2023 01:19:45
KES/TJS,604.23,01/14/2022 00:33:00
SZL/XBA,903.31,03/30/2022 09:03:03
SHP/ERN,88.72,10/05/2022 17:41:25
KWD/XBA,885.71,03/03/2021 03:00:20
BRL/XPT,527.75,10/04/2020 21:23:03
ISK/UAH,625.25,10/11/2020 01:49:29
XBA/PYG,468.29,06/09/2022 16:14:26
GYD/NPR,224.16,02/27/2021 12:18:50
KRW/BSD,165.34,10/31/2022 16:40:24
SYP/YER,842.44,01/11/2022 22:13:36
UGX/TZS,247.82,12/24/2022 03:01:07
AWG/NAD,90.69,11/04/2021 10:56:49
CDF/TWD,491.30,07/31/2022 06:37:22
MUR/BBD,116.70,03/26/2022 07:22:54
VND/TTD,553.99,10/18/2022 02:22:51
GNF/IRR,887.33,12/15/2021 12:19:48
MRO/PHP,789.64,11/24/2022 07:29:42
NGN/EEK,791.30,09/28/2022 08:46:17
LRD/CUC,715.43,09/28/2021 18:33:56
PHP/KPW,729.74,06/05/2021 10:28:24
SYP/UYU,552.30,05/21/2022 07:50:29
PYG/CUC,49.36,04/24/2021 09:10:34
OMR/CAD,608.25,07/09/2023 04:56:29
TMT/BOB,926.59,09/04/2022 00:09:23
MMK/FJD,459.43,10/30/2021 01:03:19
RON/LRD,855.99,05/19/2023 02:13:09
BTN/GNF,512.68,05/28/2022 16:19:38
XOF/BTN,917.45,01/03/2021 04:59:41
ERN/IQD,120.36,10/19/2022 01:47:20
MYR/AZN,256.19,04/11/2022 03:49:14
PEN/MXN,957.10,11/28/2020 15:29:38
PLN/YER,637.93,05/27/2021 00:56:13
XOF/CNY,51.82,09/06/2021 13:33:21
MDL/TND,652.29,11/29/2021 06:53:41
WST/BIF,931.46,05/02/2021 18:07:15
CRC/THB,500.20,12/25/2022 19:18:06
AOA/INR,804.54,12/12/2020 22:03:48
UAH/DOP,709.70,12/03/2021 14:16:37
XBA/PEN,211.42,10/09/2022 16:50:26
UAH/BTN,84.48,12/17/2020 01:48:38
IRR/PAB,816.50,07/23/2022 01:25:45
HTG/SEK,571.99,06/04/2023 05:49:55
BAM/BBD,215.89,12/14/2020 13:08:04
SGD/BND,897.05,06/05/2021 21:25:07
BDT/DKK,695.57,04/09/2022 20:13:59
XPF/HNL,172.17,08/17/2023 23:52:31
NGN/AOA,925.39,07/31/2023 10:24:05
GNF/TJS,820.78,09/29/2021 07:07:02
GNF/ISK,348.21,02/01/2022 16:29:18
PHP/LAK,417.30,08/08/2023 10:19:41
XBC/EEK,651.46,01/31/2021 23:00:22
IQD/QAR,333.69,12/29/2020 04:00:06
JPY/XFU,241.71,06/23/2023 05:37:16
LRD/TMT,106.69,07/23/2023 04:10:06
SHP/HNL,810.61,07/19/2023 23:50:44
XBA/CVE,971.93,08/14/2022 08:37:24
BWP/SEK,417.09,06/14/2022 14:26:08
LRD/QAR,265.20,10/26/2021 02:29:12
JMD/THB,668.40,02/10/2022 12:53:26
INR/PHP,387.50,03/05/2022 10:06:19
OMR/UZS,326.50,11/26/2020 06:26:48
NPR/XAG,47.50,02/03/2023 06:07:48
SVC/SAR,534.72,08/04/2023 14:59:18
LSL/EEK,267.99,12/23/2022 22:13:52
VUV/USD,673.86,07/24/2023 11:53:05
TND/GIP,514.65,01/12/2023 12:07:31
ALL/CZK,964.65,03/11/2023 20:56:39
DKK/UZS,548.55,11/10/2022 02:13:56
CLP/NGN,165.82,11/06/2020 21:55:26
CNY/TJS,862.71,08/09/2021 14:50:37
HRK/IQD,573.02,03/05/2023 22:15:17
ILS/UAH,750.32,11/21/2021 09:46:56
VND/WST,692.03,01/01/2022 08:53:48
JOD/YER,998.55,11/09/2021 13:09:06
THB/SYP,421.55,03/18/2022 18:03:11
PGK/TND,46.86,11/23/2022 17:08:29
SZL/AMD,511.57,12/04/2021 10:06:34
NGN/KWD,220.95,10/10/2022 19:30:35
MMK/BYR,769.86,04/19/2021 06:35:05
JMD/BRL,560.78,05/21/2022 22:54:03
BOB/UYU,364.11,08/01/2022 18:40:27
BSD/MKD,904.00,01/14/2021 19:49:40
PAB/MGA,999.02,12/30/2022 18:52:22
NPR/ISK,825.45,05/08/2022 12:42:23
QAR/GYD,467.54,12/31/2022 22:57:23
DJF/TJS,313.63,05/13/2023 14:29:00
BBD/ZMK,156.46,04/30/2021 20:01:17
ETB/LVL,199.41,03/27/2021 18:33:33
UAH/KHR,187.46,02/27/2022 01:57:19
XBA/NOK,714.05,08/28/2021 19:09:27
KWD/MKD,415.72,05/05/2021 11:32:31
KHR/RON,530.39,09/08/2022 14:00:53
PEN/MKD,774.23,05/24/2022 05:14:06
XPD/XAU,887.18,06/10/2023 00:00:46
TZS/GNF,826.29,04/03/2021 17:13:42
CZK/NGN,761.64,03/20/2022 20:58:17
XAG/TJS,246.26,02/11/2021 12:42:58
JPY/SYP,619.54,09/06/2022 13:34:38
TRY/KES,189.95,05/20/2023 07:51:23
XBC/DZD,3.91,04/21/2023 12:52:31
BSD/NPR,942.57,05/27/2022 17:24:44
XAF/BIF,74.81,08/02/2022 15:10:51
BND/CUP,931.00,07/18/2021 10:04:41
RUB/TZS,706.93,08/29/2022 23:14:37
BSD/AUD,711.28,12/18/2020 21:53:13
SZL/EGP,356.94,07/14/2023 20:23:36
THB/NAD,621.55,04/27/2021 11:32:26
BBD/MUR,128.89,02/27/2023 18:28:53
CRC/QAR,939.33,08/08/2022 23:28:13
LTL/SHP,866.36,05/24/2022 21:50:19
CAD/FKP,693.39,08/14/2021 14:58:57
XAG/KRW,676.27,06/30/2022 21:35:12
MYR/KRW,786.37,02/08/2023 15:02:06
DOP/BSD,584.99,12/12/2021 04:20:22
MDL/HNL,772.93,12/20/2022 07:52:46
XDR/JPY,951.38,01/12/2021 11:49:15
TOP/BYR,371.26,07/21/2022 23:53:43
ALL/THB,173.61,12/01/2022 01:03:48
XFU/TOP,599.80,06/09/2021 04:13:46
INR/XDR,519.72,08/06/2022 19:33:44
SEK/JPY,857.87,12/03/2022 12:09:24
KES/XBB,36.67,02/17/2021 17:43:32
KYD/MXN,148.30,07/14/2023 19:49:34
TRY/ZAR,565.38,09/10/2021 20:01:57
PAB/MAD,28.62,05/23/2021 20:07:15
QAR/KWD,402.63,07/18/2023 13:03:50
XPT/SEK,117.69,06/12/2021 11:16:44
MYR/ETB,15.76,02/07/2021 08:58:06
MXN/KWD,47.87,11/28/2021 19:45:35
MWK/USD,34.11,01/24/2022 22:38:10
EUR/AUD,297.61,10/02/2021 14:57:42
SZL/ISK,674.85,07/08/2021 06:25:33
LKR/MOP,245.98,06/29/2021 05:14:43
AUD/BND,188.05,07/09/2021 02:42:25
UZS/HRK,677.71,12/03/2021 14:32:35
AED/GNF,515.40,04/06/2022 04:51:20
LRD/AUD,573.71,06/09/2021 08:29:40
MNT/MZN,216.27,11/15/2020 01:01:05
MDL/QAR,403.19,03/08/2023 21:56:22
MVR/KES,200.37,08/06/2021 11:55:24
THB/BSD,521.23,11/28/2021 03:55:11
GYD/ARS,507.56,07/27/2023 19:56:08
HNL/OMR,798.02,07/27/2023 04:43:11
LRD/ERN,909.66,04/04/2022 14:36:22
JOD/GYD,868.92,09/02/2022 04:48:03
AMD/BTN,36.42,11/19/2022 16:39:58
CDF/VND,83.48,05/25/2023 22:25:46
NGN/BIF,601.50,06/29/2022 05:49:51
DKK/HKD,325.44,01/25/2023 00:07:24
HTG/DOP,822.59,11/03/2021 06:05:23
XOF/ETB,760.90,08/04/2022 13:29:46
BWP/PAB,281.79,03/31/2022 20:32:56
SVC/DJF,541.98,07/08/2022 02:11:19
ZAR/THB,688.73,12/19/2020 17:42:39
SAR/EEK,474.52,11/22/2020 17:29:05
VEF/HKD,889.58,12/16/2021 22:28:55
CNY/BYR,825.63,09/06/2022 18:51:26
LVL/UYU,222.80,06/13/2023 22:17:13
BAM/BND,94.28,10/14/2022 20:11:55
GIP/XDR,94.52,04/02/2021 17:41:11
SHP/CNY,922.92,09/21/2020 23:26:20
KRW/VUV,849.65,10/03/2020 21:24:15
SCR/SLL,900.62,01/22/2023 08:50:25
PYG/UZS,958.85,11/30/2021 05:32:52
UGX/BRL,424.98,02/13/2023 22:45:18
LRD/ZWL,874.38,01/24/2023 05:45:10
UYU/BBD,896.39,05/14/2023 23:48:26
NOK/NZD,291.89,06/30/2023 05:20:58
SHP/EGP,279.26,01/14/2021 07:03:39
MGA/SRD,441.69,06/02/2022 18:08:08
HKD/XBB,702.87,03/07/2023 10:12:22
KHR/PHP,955.40,12/23/2021 02:13:44
ERN/DZD,72.18,10/25/2022 13:05:37
GYD/GTQ,448.71,12/25/2022 04:06:50
CDF/THB,331.55,06/11/2021 09:54:40
IQD/MXN,820.88,06/13/2022 19:11:38
XBC/KRW,197.20,12/30/2022 02:27:09
JMD/AZN,800.82,02/28/2023 02:16:02
AZN/ZAR,553.33,05/15/2022 00:56:10
TRY/COP,809.60,02/24/2023 05:47:45
SDG/DOP,601.64,06/05/2022 00:35:58
XBB/KYD,623.89,05/17/2021 07:05:03
KMF/STN,236.97,01/21/2021 06:44:41
RON/LVL,127.53,04/20/2022 18:41:27
KPW/RWF,757.27,03/07/2022 16:22:58
MUR/HNL,999.50,11/02/2020 23:52:54
RON/BDT,18.18,01/10/2021 18:13:31
RUB/MAD,21.09,05/18/2022 16:42:14
CZK/VEF,409.28,04/05/2022 18:06:28
CLP/LRD,18.59,09/25/2021 05:30:00
GMD/JPY,771.58,08/31/2021 07:25:24
SVC/CZK,810.90,06/12/2021 11:18:32
CNY/MXN,340.82,08/20/2023 03:06:33
CNY/LTL,642.84,07/17/2022 23:57:29
INR/AWG,709.72,02/18/2021 03:54:06
SOS/PLN,634.06,01/12/2023 12:11:38
XDR/MWK,765.38,05/11/2022 01:27:51
ANG/SAR,532.54,07/18/2021 22:31:48
RUB/TZS,991.73,08/19/2022 13:51:52
AOA/BHD,487.92,03/03/2023 15:33:15
DZD/LKR,413.60,09/06/2023 03:39:19
AED/LTL,285.93,10/27/2021 08:03:52
IDR/CZK,896.82,11/21/2022 16:11:35
XAG/UZS,468.85,11/12/2022 07:22:51
CZK/DZD,172.15,07/23/2023 10:24:12
PAB/TZS,695.24,07/05/2021 13:15:47
SEK/TND,405.05,10/16/2020 05:16:11
QAR/SEK,309.70,04/16/2022 23:27:05
BGN/KMF,804.49,04/02/2023 19:15:26
MNT/UZS,61.81,10/20/2022 13:31:10
LRD/CUC,233.67,12/13/2020 08:37:56
LKR/PHP,261.43,12/15/2020 20:10:26
CLP/BYR,832.06,11/17/2022 22:08:27
SYP/KZT,554.69,03/01/2023 10:44:03
MXN/LVL,796.67,12/30/2021 00:41:25
KYD/XDR,356.57,11/01/2022 23:19:00
MRO/TMT,937.46,12/09/2020 20:13:07
EGP/OMR,739.79,07/01/2021 13:55:14
OMR/IDR,367.39,08/02/2021 17:11:11
CLP/GIP,824.39,01/15/2022 17:20:41
BDT/KZT,817.73,08/12/2022 14:59:31
TZS/MAD,332.30,04/08/2022 14:38:07
RON/BYR,531.11,01/07/2021 19:40:41
SEK/CDF,173.32,07/22/2023 04:04:25
XAF/RON,606.18,04/20/2021 10:42:27
ARS/ILS,705.21,03/14/2021 17:22:53
HNL/LBP,706.11,11/08/2021 02:06:56
BMD/BIF,717.64,12/08/2022 01:34:02
CVE/NAD,9.37,09/05/2021 14:22:45
TOP/MVR,78.11,02/28/2022 07:48:46
BGN/BGN,257.56,06/09/2023 18:11:47
GYD/INR,405.28,08/29/2021 04:09:01
BTN/UAH,277.57,11/08/2021 13:11:33
SAR/BOB,677.52,05/19/2021 14:11:02
MMK/GNF,716.34,01/08/2022 02:30:44
KES/SBD,853.47,03/06/2021 04:57:28
ILS/TWD,552.45,03/07/2023 22:42:43
MOP/KHR,870.91,04/19/2022 18:12:14
TRY/BDT,806.80,09/11/2021 01:04:44
AOA/YER,429.72,12/31/2022 13:36:07
BIF/HUF,498.59,02/09/2023 18:02:51
EEK/RUB,918.03,05/15/2023 06:29:39
TWD/IRR,893.68,05/16/2022 06:51:28
MUR/LAK,748.05,11/19/2020 06:32:36
ZWL/PAB,631.80,12/16/2022 02:46:46
BOB/XPT,279.60,04/30/2021 13:37:48
DZD/MGA,494.48,12/29/2021 19:37:39
BTN/NAD,962.09,09/07/2023 13:36:22
MNT/BAM,453.85,10/23/2020 00:10:12
XAF/LSL,645.27,11/23/2021 07:54:06
BWP/TZS,702.16,06/01/2021 14:17:39
HUF/UAH,78.02,05/24/2023 14:08:36
XBB/HUF,808.14,06/02/2022 05:34:59
EUR/BSD,993.37,11/07/2020 02:40:59
ANG/JOD,691.48,05/18/2021 00:07:36
PAB/PLN,971.27,04/15/2023 03:38:30
CRC/HUF,469.48,03/07/2022 15:55:03
SYP/ZAR,653.00,03/03/2022 03:44:27
CDF/GTQ,325.12,09/04/2021 11:30:28
SRD/MUR,681.45,03/19/2023 01:24:56
LRD/AFN,581.52,12/29/2021 20:36:24
TND/KES,234.83,12/21/2022 23:52:25
PAB/OMR,461.79,04/06/2021 13:05:35
CNY/AZN,734.44,08/07/2021 04:21:42
FJD/BRL,565.39,05/19/2022 10:18:29
SEK/GBP,489.38,05/23/2023 00:01:55
EGP/DOP,942.67,02/22/2022 23:09:54
LYD/SYP,143.21,03/08/2022 02:00:10
BZD/SLL,904.20,06/18/2021 19:56:28
SLL/VEF,344.27,08/12/2023 22:00:35
PHP/HTG,368.82,08/02/2023 12:14:40
BAM/JOD,315.71,10/28/2022 11:06:56
EEK/HUF,487.57,12/29/2021 20:19:47
XFU/SHP,278.33,06/05/2021 08:16:17
TOP/FKP,29.10,04/18/2022 05:06:25
ZAR/NOK,462.67,03/27/2021 21:24:39
HKD/JPY,222.50,01/25/2023 09:43:01
BTN/XFU,703.97,04/25/2021 21:33:59
JPY/TND,796.45,04/23/2021 05:48:52
GHS/XDR,976.57,09/10/2023 08:06:20
LVL/AED,205.26,03/02/2021 17:31:40
IRR/XAF,852.87,01/02/2022 12:46:21
HRK/BSD,391.61,01/03/2023 08:02:04
CAD/PEN,151.81,06/13/2023 10:56:42
TMT/LKR,773.59,12/19/2020 08:28:32
MYR/HNL,432.05,08/14/2023 09:16:34
GIP/BYR,47.42,02/13/2023 08:43:40
BBD/AUD,742.51,12/30/2021 17:55:09
PGK/PGK,808.44,05/10/2021 11:23:49
GIP/KMF,435.06,03/08/2022 00:35:55
